Track ID,Current Lap Time,Current Lap Distance,Speed,Throttle,Brake,Gear,RPM
0,0,-764.11376953125,296,1.0,0.0,7,12001
0,0,-754.456787109375,297,1.0,0.0,7,12064
0,0,-750.31103515625,298,1.0,0.0,7,12057
0,0,-746.161376953125,298,1.0,0.0,7,12066
0,0,-742.003173828125,298,1.0,0.0,7,12079
0,0,-733.672607421875,299,1.0,0.0,7,12103
0,0,-729.501708984375,299,1.0,1.52587890625e-05,7,12130
0,0,-723.937255859375,300,1.0,1.52587890625e-05,7,12179
0,0,-719.755615234375,300,1.0,1.52587890625e-05,7,12152
0,0,-705.798828125,301,1.0,1.52587890625e-05,7,12185
0,0,-701.5947265625,301,1.0,1.52587890625e-05,7,12200
0,0,-697.382080078125,302,1.0,1.52587890625e-05,7,12223
0,0,-691.797119140625,302,1.0,1.52587890625e-05,7,12237
0,0,-687.590087890625,302,1.0,1.52587890625e-05,7,12245
0,0,-677.750244140625,303,1.0,1.52587890625e-05,7,12270
0,0,-653.77978515625,304,1.0,1.52587890625e-05,7,12304
0,0,-645.300537109375,304,1.0,1.52587890625e-05,7,12326
0,0,-617.14013671875,300,0.377166748046875,0.56982421875,6,13490
0,0,-609.10205078125,288,1.52587890625e-05,0.7265777587890625,6,12890
0,0,-605.230712890625,276,1.52587890625e-05,0.712432861328125,6,12344
0,0,-600.193115234375,268,1.52587890625e-05,0.690032958984375,6,11997
0,0,-596.503662109375,255,1.52587890625e-05,0.6311187744140625,6,11410
0,0,-583.706298828125,249,1.52587890625e-05,0.6075439453125,5,13179
0,0,-573.0322265625,229,0.119415283203125,0.23748779296875,5,12196
0,0,-563.73828125,224,0.21514892578125,0.110198974609375,5,12013
0,0,-559.60205078125,223,0.235137939453125,0.0819091796875,5,11927
0,0,-545.82861328125,220,0.2888031005859375,1.52587890625e-05,5,11830
0,0,-541.580078125,219,0.2961578369140625,1.52587890625e-05,5,11783
0,0,-530.815185546875,217,0.3382415771484375,1.52587890625e-05,5,11701
0,0,-516.83984375,217,0.36981201171875,1.52587890625e-05,5,11679
0,0,-512.549072265625,216,0.417144775390625,1.52587890625e-05,5,11633
0,0,-498.7763671875,216,0.445556640625,1.52587890625e-05,5,11623
0,0,-495.7080078125,216,0.523406982421875,1.52587890625e-05,5,11651
0,0,-491.64501953125,216,0.5360260009765625,1.52587890625e-05,5,11661
0,0,-482.5732421875,217,0.5802154541015625,1.52587890625e-05,5,11724
0,0,-478.617919921875,217,0.5865325927734375,1.52587890625e-05,5,11741
0,0,-475.646240234375,218,0.599151611328125,1.52587890625e-05,5,11807
0,0,-461.772705078125,220,0.6707000732421875,1.52587890625e-05,5,11888
0,0,-458.7265625,220,0.723297119140625,1.52587890625e-05,5,11921
0,0,-454.656005859375,226,1.0,1.52587890625e-05,5,12242
0,0,-430.4755859375,231,1.0,1.52587890625e-05,5,12467
0,0,-411.92578125,233,1.0,1.52587890625e-05,6,10707
0,0,-405.218017578125,239,1.0,1.52587890625e-05,6,10960
0,0,-382.446533203125,247,0.8022003173828125,0.3718414306640625,6,11239
0,0,-379.07373046875,244,0.4402923583984375,0.5910491943359375,6,11035
0,0,-353.067138671875,223,1.52587890625e-05,0.754852294921875,5,11787
0,0,-350.44482421875,192,1.52587890625e-05,0.746612548828125,4,11695
0,0,-347.9091796875,187,1.52587890625e-05,0.739532470703125,4,11377
0,0,-344.64306640625,182,1.52587890625e-05,0.724212646484375,4,11061
0,0,-342.287841796875,176,1.52587890625e-05,0.674713134765625,3,12358
0,0,-340.007080078125,171,1.52587890625e-05,0.6311187744140625,3,12050
0,0,-337.07177734375,167,1.52587890625e-05,0.5556793212890625,3,11775
0,0,-334.94873046875,162,1.52587890625e-05,0.3965911865234375,3,11471
0,0,-332.102294921875,159,0.0384063720703125,0.2657623291015625,3,11331
0,0,-313.3359375,156,0.2140960693359375,0.0807342529296875,3,11199
0,0,-310.5908203125,155,0.287750244140625,1.52587890625e-05,3,11175
0,0,-307.15625,155,0.3087921142578125,1.52587890625e-05,3,11191
0,0,-304.685302734375,156,0.329833984375,1.52587890625e-05,3,11221
0,0,-294.058837890625,157,0.4129486083984375,1.52587890625e-05,3,11415
0,0,-289.820556640625,159,0.4802703857421875,1.52587890625e-05,3,11595
0,0,-286.949951171875,161,0.5149993896484375,1.52587890625e-05,3,11687
0,0,-284.771728515625,161,0.5360260009765625,1.52587890625e-05,3,11749
0,0,-282.56787109375,163,0.5549774169921875,1.52587890625e-05,3,11817
0,0,-279.6005859375,165,0.5949554443359375,1.52587890625e-05,3,12004
0,0,-274.310302734375,167,0.6201934814453125,1.52587890625e-05,3,12126
0,0,-272.027587890625,168,0.647552490234375,1.52587890625e-05,3,12230
0,0,-268.946533203125,170,0.679107666015625,1.52587890625e-05,3,12356
0,0,-266.623291015625,171,0.6980438232421875,1.52587890625e-05,3,12432
0,0,-264.272216796875,172,0.7043609619140625,1.52587890625e-05,3,12532
0,0,-261.907470703125,173,0.7106781005859375,1.52587890625e-05,4,11006
0,0,-258.73681640625,175,0.7106781005859375,1.52587890625e-05,4,11001
0,0,-256.333740234375,176,0.7106781005859375,1.52587890625e-05,4,11047
0,0,-239.813720703125,186,0.843231201171875,1.52587890625e-05,4,11634
0,0,-237.26220703125,187,0.881103515625,1.52587890625e-05,4,11756
0,0,-228.5859375,192,1.0,1.52587890625e-05,4,12036
0,0,-223.23486328125,195,1.0,1.52587890625e-05,4,12258
0,0,-219.61083984375,200,1.0,1.52587890625e-05,5,10917
0,0,-214.08984375,202,1.0,1.52587890625e-05,5,10984
